loss,accuracy,val_loss,val_accuracy
1.227098822593689,0.5377343893051147,0.7201076149940491,0.7903226017951965
0.7333909273147583,0.7141956686973572,0.5427308678627014,0.8167155385017395
0.5771698355674744,0.7956514954566956,0.39267146587371826,0.8900293111801147
0.45674899220466614,0.8419725894927979,0.38496506214141846,0.8782991170883179
0.37223342061042786,0.8717504143714905,0.3195473551750183,0.9076246619224548
0.3228207230567932,0.8911296725273132,0.34843918681144714,0.8782991170883179
0.2706225514411926,0.9073578119277954,0.26218220591545105,0.9222874045372009
0.21538971364498138,0.9227981567382812,0.30304956436157227,0.9149560332298279
0.19409653544425964,0.9281550049781799,0.28356122970581055,0.9149560332298279
0.1664491444826126,0.9413896203041077,0.29702028632164,0.9164223074913025
0.14783969521522522,0.9475342631340027,0.35247668623924255,0.9061583280563354
0.14162586629390717,0.9492673873901367,0.3692801296710968,0.9178885817527771
0.12901516258716583,0.9543091058731079,0.32849815487861633,0.9222874045372009
0.10517287999391556,0.963289737701416,0.38629838824272156,0.9090909361839294
0.1119011715054512,0.9629746079444885,0.37297818064689636,0.8973606824874878
0.11687951534986496,0.9563573598861694,0.4067721962928772,0.8988269567489624
0.10578404366970062,0.9604537487030029,0.3444535732269287,0.9178885817527771
0.0886741653084755,0.9640775322914124,0.42783352732658386,0.9193548560142517
0.08465278893709183,0.9688041806221008,0.380878210067749,0.9032257795333862
0.09017424285411835,0.9673861861228943,0.39902105927467346,0.9120234847068787
0.09021865576505661,0.9647077322006226,0.35626140236854553,0.9281525015830994
0.0883890688419342,0.9673861861228943,0.39598968625068665,0.9164223074913025
0.0705624669790268,0.9721128344535828,0.4782829284667969,0.9222874045372009
0.07335171103477478,0.9705372452735901,0.46076473593711853,0.9134897589683533
0.08082199096679688,0.9673861861228943,0.3686661124229431,0.9134897589683533
